,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,%error,total
0,4426.0,0.0,9.0,1.0,1.0,5.0,5.0,0.0,2.0,2.0,8.0,18.0,60.0,301.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1818.0,15.0,92.0,2.0,5.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,84.0,5.0,4.0,5.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,212.0,15.0,6.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,38.4251530328325,7188.0
1,2.0,6192.0,1.0,0.0,0.0,6.0,7.0,15.0,15.0,5.0,1.0,0.0,3.0,1.0,0.0,31.0,0.0,1.0,1711.0,12.0,1.0,40.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,10.0,67.0,0.0,0.0,2.0,1.0,18.0,1.0,6.0,4.0,24.0,363.0,40.0,6.0,2430.0,0.0,1.0,0.0,1.0,4.0,7.0,1.0,96.0,0.0,0.0,0.0,4.0,6.0,0.0,44.45142190723961,11147.0
2,11.0,14.0,5503.0,64.0,3.0,1.0,0.0,14.0,17.0,1.0,2.0,3.0,2.0,27.0,6.0,3.0,5.0,0.0,61.0,20.0,0.0,12.0,0.0,0.0,2.0,2.0,3.0,6.0,23.0,0.0,6.0,0.0,2.0,11.0,5.0,362.0,123.0,2.0,0.0,17.0,6.0,1.0,12.0,1.0,4.0,25.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,16.0,2.0,293.0,18.00029801817911,6711.0
3,3.0,0.0,26.0,5552.0,0.0,85.0,0.0,3.0,58.0,49.0,2.0,26.0,2.0,23.0,0.0,0.0,7.0,0.0,11.0,88.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,106.0,1.0,0.0,0.0,0.0,0.0,18.0,2.0,22.0,2.0,0.0,2.0,0.0,1.0,98.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,11.153784605536886,6249.0
4,12.0,0.0,5.0,1.0,4955.0,10.0,7.0,12.0,19.0,84.0,24.0,0.0,0.0,0.0,1.0,34.0,2.0,54.0,0.0,0.0,5.0,0.0,17.0,116.0,10.0,1.0,7.0,3.0,2.0,7.0,83.0,125.0,13.0,10.0,185.0,0.0,23.0,0.0,0.0,29.0,8.0,19.0,15.0,10.0,1.0,3.0,4.0,2.0,4.0,18.0,4.0,0.0,30.0,15.0,2.0,194.0,30.0,82.0,14.0,26.0,167.0,4.0,23.862937922556853,6508.0
5,7.0,1.0,0.0,35.0,4.0,4319.0,21.0,0.0,42.0,12.0,1.0,4.0,18.0,0.0,19.0,31.0,25.0,0.0,7.0,39.0,0.0,1.0,0.0,3.0,2.0,0.0,8.0,0.0,773.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,0.0,1.0,2.0,4.0,14.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,83.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,21.64368650217707,5512.0
6,19.0,0.0,1.0,0.0,12.0,27.0,5488.0,0.0,10.0,0.0,3.0,7.0,20.0,11.0,26.0,19.0,206.0,0.0,1.0,1.0,0.0,57.0,0.0,7.0,10.0,0.0,11.0,1.0,18.0,0.0,15.0,1.0,27.0,0.0,0.0,0.0,4.0,255.0,3.0,14.0,12.0,12.0,7.0,60.0,6.0,1.0,15.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,25.0,2.0,0.0,7.0,1.0,0.0,0.0,14.676616915422885,6432.0
7,0.0,5.0,22.0,29.0,1.0,1.0,0.0,5631.0,10.0,143.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,123.0,1.0,1.0,0.0,2.0,89.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,3.0,5.0,0.0,3.0,0.0,4.0,0.0,2.0,8.0,3.0,1.0,21.0,0.0,0.0,0.0,2.0,26.0,3.0,9.571222097318131,6227.0
8,19.0,13.0,53.0,103.0,4.0,41.0,2.0,15.0,5134.0,14.0,2.0,155.0,5.0,7.0,66.0,62.0,3.0,0.0,37.0,16.0,1.0,1.0,0.0,0.0,13.0,33.0,8.0,36.0,35.0,2.0,8.0,11.0,1.0,11.0,4.0,32.0,23.0,10.0,0.0,8.0,14.0,26.0,91.0,0.0,3.0,0.0,5.0,3.0,0.0,1.0,1.0,8.0,92.0,15.0,6.0,35.0,0.0,1.0,0.0,15.0,6.0,23.0,18.932575398705197,6333.0
9,3.0,4.0,6.0,35.0,171.0,22.0,0.0,366.0,34.0,5332.0,3.0,0.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,33.0,28.0,2.0,8.0,7.0,0.0,1.0,0.0,0.0,47.0,0.0,17.0,0.0,0.0,0.0,4.0,6.0,243.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,284.0,0.0,5.0,37.0,0.0,0.0,0.0,0.0,22.0,1.0,21.07756068679692,6756.0
10,7.0,0.0,4.0,1.0,52.0,0.0,1.0,0.0,4.0,2.0,801.0,5.0,0.0,1.0,0.0,1.0,0.0,33.0,1.0,0.0,3.0,0.0,31.0,23.0,4.0,15.0,0.0,44.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,24.0,1.0,0.0,3.0,0.0,0.0,2.0,50.0,0.0,0.0,5.0,1.0,2.0,121.0,1.0,13.0,0.0,10.0,1.0,1.0,2.0,0.0,0.0,8.0,0.0,0.0,37.470725995316165,1281.0
11,8.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,100.0,0.0,0.0,332.0,1.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,31.82751540041068,487.0
